from,to,reason
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-dishes-73559.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-dishes-73559.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-door-77604.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-door-77604.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-knock-71787.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-knock-71787.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-on-table-movement-29170.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-on-table-movement-29170.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-shatter-3-100155.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-shatter-3-100155.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-ting-89283.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-ting-89283.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-glass-wipe-75164.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-glass-wipe-75164.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-ice-faling-into-glass-sfx-105431.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-ice-faling-into-glass-sfx-105431.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-pill-bottle-glass-26605.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-pill-bottle-glass-26605.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-shimmer-glass-81711.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-shimmer-glass-81711.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-shot-glass-clink-toast-26861.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-shot-glass-clink-toast-26861.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-smashing-glass-6166.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-smashing-glass-6166.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-spill-glass-99791.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-spill-glass-99791.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-standing-on-broken-glass-67303.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-standing-on-broken-glass-67303.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-tapping-on-glass-31920.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-tapping-on-glass-31920.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-wine-glass-74398.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-wine-glass-74398.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_freesound_community-wine-glass-clink-36036.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_freesound_community-wine-glass-clink-36036.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_lordsonny-glass-cinematic-hit-161212.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_lordsonny-glass-cinematic-hit-161212.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_lordsonny-glass-cinematic-hit-161212__1_.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_lordsonny-glass-cinematic-hit-161212__1_.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_ptffoyrrerirr-glass-breaking-171617.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_ptffoyrrerirr-glass-breaking-171617.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_pwlpl-glassbreakingcollision-sound-428667.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_pwlpl-glassbreakingcollision-sound-428667.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_ribhavagrawal-glass-peices-dropping-sound-effect-230562.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_ribhavagrawal-glass-peices-dropping-sound-effect-230562.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_scottishperson-sound-effect-woman-scream-and-glass-breaking-236490.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_scottishperson-sound-effect-woman-scream-and-glass-breaking-236490.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_soundreality-bottle-glass-hit-4-580256.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_soundreality-bottle-glass-hit-4-580256.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_soundreality-glass-breaking-151256.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_soundreality-glass-breaking-151256.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_stu9-glass-crack-363162.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_stu9-glass-crack-363162.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_universfield-bottle-shatter-229205.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_universfield-bottle-shatter-229205.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_universfield-glass-bottle-smash-02-291048.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_universfield-glass-bottle-smash-02-291048.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_universfield-glass-bottle-smash-191998.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_universfield-glass-bottle-smash-191998.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_universfield-glass-bottle-smash-277554.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_universfield-glass-bottle-smash-277554.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_universfield-glass-hit-192119.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_universfield-glass-hit-192119.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_voicebosch-wine-glass-tapping-183789.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_voicebosch-wine-glass-tapping-183789.mp3,old imported copy
C:\Users\CZ\Desktop\SonicSentinel AI\audio_dataset\raw\Glass Breaking\extra_wings_of_freedom-broken-glass-403772.mp3,C:\Users\CZ\Desktop\SonicSentinel AI\_to_delete\raw_glass_extra\extra_wings_of_freedom-broken-glass-403772.mp3,old imported copy
